arquivo,estilo_real,estilo_llm,justificativa,elementos
mpb_Sol de Cada Dia (2).mp3,mpb,mpb,"A música apresenta violão acústico como instrumento principal, um ritmo suave e envolvente com bateria leve e um baixo marcante. A voz feminina é melódica e expressiva, e a 'vibe' geral é introspectiva, calma e inspiradora, características fortes da Música Popular Brasileira.","violão acústico, voz feminina, baixo, bateria/percussão leve, melodia suave, harmonia rica, coral/backing vocals"
forro_Dançando na Lua (1).mp3,forro,forró,"A música apresenta elementos marcantes do forró, como a sanfona em destaque, o ritmo contagiante da zabumba e do triângulo, e uma atmosfera festiva e dançante, características proeminentes desse gênero musical nordestino.","sanfona, zabumba, triângulo, vocal masculino, baixo, bateria, guitarra"
forro_Dançando com o Vento (1).mp3,forro,forró,"O ritmo é claramente dançante e marcado, com a sanfona (acordeão) como instrumento principal ditando a melodia e harmonia. A sonoridade remete à festa junina e danças típicas do Nordeste brasileiro. A letra também menciona 'forró' e 'balanço do corpo', reforçando a identidade do gênero.","sanfona (acordeão), bateria com ritmo marcado e dançante, baixo, triângulo, vocais masculinos"
samba_No Embalo do Samba.mp3,samba,samba,"A música é claramente um samba, com a presença marcante de cavaquinho, pandeiro e surdo. O ritmo é sincopado e dançante, com vocais que evocam uma roda de samba. A letra também faz referência direta ao samba e ao batuque.","cavaquinho, pandeiro, surdo, vocal masculino com coro, ritmo sincopado, batucada"
forro_Dançando na Lua.mp3,forro,forró,"A música apresenta a sanfona como instrumento principal, um ritmo dançante e alegre, e uma 'vibe' festiva típica das festas juninas do Nordeste brasileiro. A letra também faz uma referência direta ao forró, consolidando a escolha do estilo.","sanfona, bateria com ritmo de forró, baixo elétrico, vocal masculino principal, backing vocals, ritmo upbeat e dançante"
samba_No Embalo do Samba (1).mp3,samba,samba,"A música apresenta claramente os elementos rítmicos e instrumentais clássicos do samba, como o cavaquinho, o pandeiro e o surdo, que ditam o ritmo contagiante e dançante. A melodia e a interpretação vocal, incluindo o coro, reforçam a autenticidade do estilo. Além disso, a letra menciona explicitamente 'samba' e 'batuque', consolidando a identificação.","cavaquinho, pandeiro, surdo, violão, tamborim, vocais masculinos (solo e coro), ritmo sincopado, percussão brasileira"
forro_Boi Encantado.mp3,forro,forró,"A música apresenta um ritmo animado e dançante, com destaque para a sanfona (acordeão) como instrumento principal, acompanhada por violão, baixo e bateria. A melodia e a vocalização remetem diretamente às características tradicionais do forró, um gênero musical tipicamente nordestino.","sanfona (acordeão), violão, baixo, bateria, vocal masculino"
forro_Dança no Vento.mp3,forro,forró,"A música apresenta características marcantes do forró, como o ritmo contagiante e dançante, a melodia alegre e o uso proeminente de instrumentos como a sanfona, a zabumba e o triângulo, que são pilares desse gênero musical nordestino.","sanfona (acordeon), zabumba, triângulo, baixo, bateria, voz masculina, ritmo dançante"
samba_Roda de Alegria.mp3,samba,samba,"A música apresenta características clássicas do samba, como a instrumentação predominante de cavaquinho e percussão (pandeiro, tantã), o ritmo sincopado e contagiante, e os vocais em coro e estilo de 'chamada e resposta'. A letra faz menção explícita ao samba e à 'roda', reforçando a identificação com o gênero e sua cultura.","Cavaquinho, Pandeiro, Percussão marcante (surdo/tantã), Vocais masculinos (solo e coro), Ritmo sincopado e animado, Letra com referências diretas a 'samba' e 'roda'"
samba_Roda de Alegria (1).mp3,samba,samba,"A música apresenta um ritmo sincopado e vibrante, impulsionado por instrumentos como cavaquinho e pandeiro, elementos característicos do samba. A estrutura de chamada e resposta nos vocais, juntamente com a letra que celebra a 'roda de samba', reforçam inequivocamente este estilo.","cavaquinho, pandeiro, percussão (tamborim, chocalho), baixo, vocal principal, backing vocals (coro)"
