ano,artista,faixa,genero1,id,arquivo,status,fechado_estilo,fechado_confianca,fechado_justificativa,tempo_fechado,aberto_estilo,aberto_subgeneros,aberto_confianca,aberto_justificativa,tempo_aberto
2021,"Mc Livinho, DJ TOPO",MTG PASSA PASSA PRA EU SARRAR,funk,41,41_MTG PASSA PASSA PRA EU SARRAR - MC LIVINHO_ DJ TOPO(MP3_160K).mp3,ok,forró,95.0,"A faixa apresenta a batida característica do piseiro, uma vertente moderna do forró, com uso proeminente de sintetizadores e um padrão rítmico sincopado típico do gênero.",27.113887786865234,Funk Carioca,"Funk Melody, Funk Pop, Eletrofunk",95.0,"A faixa é estruturada sobre a rítmica do 'tamborzão', característica fundamental do Funk Carioca. A produção utiliza sintetizadores modernos e uma abordagem vocal melódica, aproximando-a do Funk Melody e do Pop contemporâneo brasileiro. A batida eletrônica acentuada e o arranjo voltado para pistas de dança também permitem a classificação como Eletrofunk.",31.184033155441284
2010,Zeeba,Te dizer que sim,mpb,192,192_Zeeba - Te dizer que sim..mp3,ok,mpb,95.0,"A composição apresenta instrumentação acústica predominante, letras poéticas e melodia característica da Música Popular Brasileira contemporânea, com elementos de soft pop.",30.2936589717865,Pop Brasileiro,"Nova MPB, Pop Romântico, Indie Pop, Folk Pop",95.0,"A faixa apresenta características marcantes da 'Nova MPB', combinando o violão acústico com uma produção pop contemporânea. A estrutura melódica é acessível, com vocais limpos e expressivos, típicos do pop romântico nacional. A instrumentação equilibra elementos orgânicos e sutis camadas eletrônicas, resultando em uma sonoridade leve e comercial.",32.63874888420105
2017,"Luisa sonza, Demi Lovato",Penhasco 2,mpb,196,"196_Luísa Sonza, Demi Lovato - Penhasco2.mp3",ok,pop,95.0,"A faixa apresenta estrutura de balada contemporânea com produção polida, foco em melodias vocais acessíveis e arranjo que evolui de uma base acústica para um clímax com elementos de pop-rock, características típicas do pop nacional moderno.",32.75885462760925,Pop Rock Brasileiro,"Balada Pop, Soft Rock, MPB Contemporânea",95.0,"A faixa apresenta uma estrutura clássica de balada pop-rock, com início introspectivo ao piano evoluindo para um arranjo mais denso com guitarras e bateria. A interpretação vocal é emotiva e melódica, típica do gênero no Brasil, combinando elementos do rock suave com a sensibilidade da música popular brasileira contemporânea.",31.389161348342896
2024,"DG e Batidão Stronda, Mc Davi, J. Eskine, MC G15",Mãe Solteira,funk,37,37_MÃE SOLTEIRA - J.Eskine_ MC Davi_ MC G15_ DG e Batidão Stronda (GR6 Explode)(MP3_160K).mp3,ok,pagode,95.0,"A faixa apresenta instrumentação característica do pagode, como o cavaquinho e percussão rítmica (pandeiro e surdo), com estrutura melódica típica do gênero.",28.002989530563354,Funk Carioca,"Funk Ostentação, Pop Funk, Funk de Favela",98.0,"A faixa é construída sobre a célula rítmica do 'tamborzão', característica do Funk Carioca, com compasso quaternário e síncopas acentuadas. A instrumentação eletrônica foca em graves profundos e percussão programada. A lírica aborda temas de ascensão social e consumo de luxo, definindo o Funk Ostentação, enquanto a estrutura melódica do refrão e a produção polida indicam uma forte inclinação ao Pop Funk.",37.93933081626892
1994,"Boladin 211, MC Rick, MC Leozinho ZS, CAO$, Dj Lv Mdp","Chapa Máxima - feat. CAO$, Dj Lv Mdp",funk,42,42_MC Rick_ Boladin 211 e MC Leozinho ZS - CHAPA MAXIMA ( DJ LV MDP E CAOS NO BEAT )(MP3_160K).mp3,ok,funk,100.0,"A faixa apresenta a batida característica do funk brasileiro (tamborzão), com vocais rítmicos e repetitivos (estilo MC) e letras que abordam temas urbanos e de ostentação, típicos do gênero.",40.67489051818848,Funk Brasileiro,"Funk Ostentação, Funk Proibidão, Funk de Fluxo",95.0,"A faixa é caracterizada pela rítmica sincopada do funk, com batidas de 808 pesadas e loops melódicos repetitivos. A lírica foca em temas de ascensão social, poder e o cotidiano das comunidades, elementos centrais do Funk Ostentação e Proibidão. A produção sonora é moderna, com vocais agressivos e rítmicos típicos das produções contemporâneas de São Paulo e Rio de Janeiro.",26.44772505760193
2024,Suel,Vitamina C,pagode,98,"98_Suel, Grupo Menos É Mais - Vitamina C - Ao Vivo.mp3",ok,pagode,95.0,"Apresenta instrumentação e rítmica típicas do pagode, com uso proeminente de cavaquinho e percussão característica (pandeiro e surdo), em uma releitura de composição originalmente sertaneja.",26.152814626693726,Pagode,"Pagode Romântico, Samba-Pop, Samba",100.0,"A faixa é caracterizada por uma instrumentação típica do pagode contemporâneo, utilizando cavaquinho, violão e uma base percussiva centrada no pandeiro e surdo. A estrutura harmônica apresenta progressões de acordes com sétimas e nonas, comuns no gênero, enquanto a melodia e a letra seguem uma temática romântica com apelo pop. A presença de arranjos de metais e a dinâmica de 'chamada e resposta' com o público são marcas registradas das grandes produções de pagode ao vivo atuais.",43.994813442230225
2022,"MC Jvila, Mc Negão Original, DJ Dael",Pirocada Quente,funk,35,35_PIROCADA QUENTE - MC Negão original e MC Jvila (DJ Dael e DJ Guh Mix)(MP3_160K).mp3,ok,funk,100.0,"A faixa apresenta a batida característica do funk carioca (tamborzão), com vocais rítmicos e produção eletrônica baseada em loops e samples típicos do gênero.",44.4510383605957,Funk Carioca,"Funk Ostentação, Funk Pop, Tamborzão",100.0,"A faixa apresenta a célula rítmica característica do 'tamborzão', com compasso 4/4 e síncope marcante. A temática lírica foca em consumo, status social e sexualidade, elementos centrais do Funk Ostentação, enquanto a produção sonora e os ganchos melódicos conferem uma sonoridade comercial próxima ao Funk Pop.",25.79624032974243
2024,Carol Biazin,Menta com chá,mpb,191,191_Carol Biazin - MENTA COM CHÁ.mp3,ok,pop,95.0,"A faixa apresenta uma produção contemporânea com vocais melódicos, batida rítmica constante e uso de violão, características típicas do pop brasileiro atual.",44.39579963684082,Pop Urbano Brasileiro,"R&B Contemporâneo, Trap-Pop, MPB Contemporânea, Lo-fi Pop",95.0,"A faixa apresenta uma fusão característica da música pop brasileira atual, combinando o dedilhado rítmico do violão (herança da MPB) com uma produção eletrônica baseada em batidas de Trap (hi-hats rápidos e graves profundos). O fraseado vocal é melódico e suave, típico do R&B, com uma estrutura de composição focada em refrões chiclete e uma atmosfera relaxada (chill vibe).",27.5325186252594
2024,Matuê,Reza do Milhão,hip-hop,125,125_Matuê - Reza do Milhão.mp3,ok,hip-hop,95.0,"A faixa apresenta vocais rítmicos e rimados sobre uma base instrumental com batidas marcadas e graves profundos, características centrais do hip-hop moderno.",30.125134229660034,Trap Brasileiro,"Melodic Trap, Trap Ostentação, Hip Hop Contemporâneo",98.0,"A faixa é construída sobre uma base rítmica característica do Trap, com hi-hats em subdivisões rápidas e o uso proeminente de sub-graves (808s). A entrega vocal utiliza autotune de forma estética para criar linhas melódicas fluidas, definindo o subgênero Melodic Trap. Liricamente, a composição foca em temas de superação, sucesso financeiro e autoconfiança, elementos centrais do Trap Ostentação no cenário urbano brasileiro.",42.383450984954834
2022,Matuê,Crack com Mussilon,hip-hop,123,123_Matuê - Crack com Mussilon.mp3,ok,hip-hop,95.0,"A faixa apresenta elementos característicos do trap, um subgênero do hip-hop, incluindo batidas com graves profundos (808s), hi-hats rápidos e um flow vocal rítmico com uso de autotune.",43.77420449256897,Trap,"Trap Brasileiro, Melodic Trap, Cloud Rap",95.0,"A faixa é estruturada sobre uma base rítmica característica do Trap, com graves 808 profundos e hi-hats em subdivisões rápidas. A performance vocal utiliza Auto-Tune de forma estética, alternando entre o rap e linhas melódicas suaves. A textura sonora é enriquecida por sintetizadores atmosféricos e etéreos, típicos do Cloud Rap, enquanto a lírica e o flow situam a obra no cenário do Trap Brasileiro contemporâneo.",31.632691621780396
